store_section_id,ingredient_id,unit_display,total_qty
FRIDGE,PARMIGIANO,g,150.0
CAN,CHOPPED_TOMATOES,g,1200.0
FRIDGE,MOZZARELLA,g,350.0
LEAVES,BASIL,leaves,10.0
FUIT_VEG,AUBERGINES,medium,2.0
FUIT_VEG,SHALLOTS,medium,1.0
FUIT_VEG,GARLIC_GLOVE,medium,2.0
SPICE,ORIGANO,tsp,2.0
FRIDGE,CRÃˆME_FRAICHE,g,500.0
FUIT_VEG,POTATO,kg,1.2
SPICE,SALT,tsp,1.0
SPICE,PEPPER_GROUND,tsp,2.0
SPICE,NUTMEG_GROUND,tsp,2.0
FUIT_VEG,SPINACH,g,600.0
FUIT_VEG,MUSHROOM,g,200.0
FRIDGE,WHOLE_MILK,g,250.0
FRIDGE,BUTTER,g,40.0
DELI,PLAIN_FLOUR,g,60.0
FRIDGE,GOAT_CHEESE,g,200.0
FUIT_VEG,TOMATO,medium,4.0
DELI,LASAGNA,sheet,12.0
DELI,SUGAR,tsp,1.0
DELI,CHICKEN_STOCK,unit,1.0