recipe_id,recipe_name,recipe_nb_meal,recipe_meal,expected_cost,comment
TABOULE,Taboulé,6,MAIN,__TBD__,__comment__
ROULEAUX_DE_PRINTEMPS,Rouleaux de Printemps,2,MAIN,__TBD__,__comment__
RATATOUILLE,Ratatouille,4,MAIN,__TBD__,__comment__
LENTILLES_LARDONS,Lentilles Lardons,6,MAIN,__TBD__,__comment__
DHAL_DE_PATATE_DOUCE_ET_DE_LENTILLE_CORAIL,Dhal de patate douce et de lentille corail,4,MAIN,__TBD__,__comment__
JAMBALAYA,Jambalaya,6,MAIN,__TBD__,__comment__
SALADE_FALLAFEL,Salade Fallafel,4,MAIN,__TBD__,__comment__
SALADE_DE_RIZ_AU_THON_ET_AUX_LEGUMES_CROQUANTS,Salade de riz au thon et aux légumes croquants,6,MAIN,__TBD__,__comment__
"SALADE_D_EBLY,_OIGNON_CARAMELISE_&_MOZZARELLA","Salade d’ebly, oignon caramélisé & mozzarella",6,MAIN,__TBD__,__comment__
AUBERGINES_A_LA_PARMESANE,Aubergines à la parmesane,6,MAIN,__TBD__,__comment__
SPAGHETTI_BOLOGNESE,Spaghetti Bolognese,4,MAIN,__TBD__,__comment__
SALADE_DE_PENNE_A_L_ITALIENNE,Salade de penne à l’italienne,4,MAIN,__TBD__,__comment__
QUICHE_POIVRONS_ET_COURGETTES,Quiche poivrons et courgettes,6,MAIN,__TBD__,__comment__
LASAGNES_EPINARDS_ET_CHEVRE,Lasagnes épinards et chèvre,6,MAIN,__TBD__,__comment__
GRATIN_DAUPHINOIS,Gratin Dauphinois,6,MAIN,__TBD__,__comment__
SAUCE_BOLOGNAISE_A_LA_ROMAGNOLE,Sauce bolognaise à la Romagnole,6,MAIN,__TBD__,__comment__
PUREE_DE_BUTTERNUT,Puree de Butternut,4,MAIN,__TBD__,__comment__
BANANA_PROTEIN_PANCAKES,Banana Protein Pancakes,2,BREAKFAST,__TBD__,__comment__
EGG_BACON_&_AVOCADO_BOWL,Egg Bacon & Avocado Bowl,1,MAIN,__TBD__,__comment__
ROASTED_ROOT_VEG_SALADE_WITH_FETA,Roasted Root Veg Salade with Feta,4,MAIN,__TBD__,__comment__
QUICK_VEGETABLE_CURRY,Quick Vegetable Curry,4,MAIN,__TBD__,__comment__
SMOOTHIE_FRUITS_ROUGES_ET_BANANE,Smoothie fruits rouges et banane,4,BREAKFAST,__TBD__,__comment__
SMOOTHIE_ANANAS_BANANE,Smoothie ananas banane,4,BREAKFAST,__TBD__,__comment__
SMOOTHIE_FRAISE_MYRTILLE,Smoothie fraise myrtille,4,BREAKFAST,__TBD__,__comment__
SMOOTHIE_BANANE_KIWI,Smoothie banane kiwi,2,BREAKFAST,__TBD__,__comment__
VELOUTE_DE_BUTTERNUT,Velouté de butternut,4,MAIN,__TBD__,__comment__
FARFALLE_A_LA_CREME_DE_COURGETTES,Farfalle à la crème de courgettes,4,MAIN,__TBD__,__comment__
POULET_COCO_AUX_3_EPICES,Poulet coco aux 3 épices,4,MAIN,__TBD__,__comment__
RISOTTO_POULET_ET_CHAMPIGNONS,Risotto poulet et champignons,4,MAIN,__TBD__,__comment__
INVISIBLE_AUX_POMMES,Invisible aux pommes,8,DESERT,__TBD__,__comment__
RISOTTO_CHAMPIGNONS_ET_COURGETTES,Risotto champignons et courgettes,4,MAIN,__TBD__,__comment__
LASAGNES_DE_LEGUMES,Lasagnes de légumes,4,MAIN,__TBD__,__comment__
SAUTE_DE_PORC_AU_CURRY,Sauté de porc au curry,4,MAIN,__TBD__,__comment__
BUTTER_CHICKEN,Butter Chicken,6,MAIN,__TBD__,__comment__
HACHIS_PARMENTIER,Hachis Parmentier,4,MAIN,__TBD__,__comment__
QUICHE_POIVRONS_ET_CHORIZO,Quiche poivrons et chorizo,8,MAIN,__TBD__,__comment__
JARDINIERE_DE_LEGUMES_AUX_LARDONS,Jardinière de légumes aux lardons,4,MAIN,__TBD__,__comment__
GASPACHO_ANDALOU,Gaspacho Andalou,8,MAIN,__TBD__,__comment__
GLACE_A_LA_VANILLE,Glace à la vanille,6,DESERT,__TBD__,__comment__
"CEVICHE_DE_CREVETTES,_MANGUE,_AVOCAT","Ceviche de crevettes, mangue, avocat",4,MAIN,__TBD__,__comment__
GÂTEAU_INVISIBLE_AUX_COURGETTES,Gâteau invisible aux courgettes,6,MAIN,__TBD__,__comment__
RISOTTO_AU_PESTO_D_EPINARDS_ET_BASILIC,Risotto au pesto d’épinards et basilic,4,MAIN,__TBD__,__comment__
CURRY_DE_POIS_CHICHES_AU_LAIT_DE_COCO,Curry de pois chiches au lait de coco,4,MAIN,__TBD__,__comment__
TARTE_AUX_POMMES_SANS_PÂTE,Tarte aux pommes sans pâte,8,DESERT,__TBD__,__comment__
"CRUMBLE_COURGETTES,_BASILIC_ET_PARMESAN","Crumble courgettes, basilic et parmesan",6,MAIN,__TBD__,__comment__
"QUINOA_SALAD_WITH_ASPARAGUS,_PEAS,_AVOCADO_&_LEMON_BASIL_DRESSING","Quinoa Salad with Asparagus, Peas, Avocado & Lemon Basil Dressing",4,MAIN,__TBD__,__comment__
QUICK_BEEF_CHOW_MEIN,Quick Beef Chow Mein,4,MAIN,__TBD__,__comment__
LENTILLES_FAÇON_CHILI,Lentilles façon chili,4,MAIN,__TBD__,__comment__
CRUMBLE_DE_SAUMON_ET_POIREAUX,Crumble de saumon et poireaux,6,MAIN,__TBD__,__comment__
GRANOLA_BAR,Granola bar,10,SNACK,__TBD__,__comment__
INVISIBLE_AUX_POIRES,Invisible aux Poires,8,DESERT,__TBD__,__comment__
BREAKFAST_SHAKE,Breakfast Shake,1,BREAKFAST,__TBD__,__comment__
SUMMER_FRUIT_SMOOTHIE,Summer Fruit Smoothie,1,BREAKFAST,__TBD__,__comment__
MANGO_&_BANANA_SMOOTHIE,Mango & Banana Smoothie,1,BREAKFAST,__TBD__,__comment__
THE_MORNING_REFRESHER_SMOOTHIE,The Morning Refresher Smoothie,1,BREAKFAST,__TBD__,__comment__
BLUEBERRY_BIRCHER_MUESLI,Blueberry Bircher Muesli,1,BREAKFAST,__TBD__,__comment__
TOASTED_WALKNUT_&_HONEY_PORRIDGE,Toasted Walknut & Honey Porridge,1,BREAKFAST,__TBD__,__comment__
APPLE_BREAKFAST_BREAD,Apple Breakfast Bread,8,BREAKFAST,__TBD__,__comment__
RACE_DAY_BAGEL_WITH_NUT_BUTTER,Race Day Bagel with Nut Butter,1,BREAKFAST,__TBD__,__comment__
ENGLISH_BREAKFAST_MUFFN,English Breakfast Muffn,12,BREAKFAST,__TBD__,__comment__
SCRAMBLED_EGG_PITTA,Scrambled Egg Pitta,1,BREAKFAST,__TBD__,__comment__
BUCKWHEAT_PANCACKES_WITH_STRAWBERRIES_&_VANILLA_YOGURT,Buckwheat Pancackes with Strawberries & Vanilla Yogurt,4,BREAKFAST,__TBD__,__comment__
OATY_BANANA_PANCAKE,Oaty Banana Pancake,1,BREAKFAST,__TBD__,__comment__
THAI_GREEN_CHICKEN_CURRY,Thai Green Chicken Curry,4,MAIN,__TBD__,__comment__
CHICKEN_&_QUINOA_SALAD,Chicken & Quinoa Salad,4,MAIN,__TBD__,__comment__
SPICY_STEAK_WRAPS_WITH_TOMATO_SALSA,Spicy Steak Wraps with Tomato Salsa,2,MAIN,__TBD__,__comment__
SALMON_MUSCLE_RECOVERY_WRAPS,Salmon Muscle-Recovery Wraps,2,MAIN,__TBD__,__comment__
SMOKED_MACKEREL_FISHCAKES,Smoked Mackerel Fishcakes,4,MAIN,__TBD__,__comment__
MARGHERITA_FRITTATA,Margherita Frittata,4,MAIN,__TBD__,__comment__
EGG_FRIED_RICE_WITH_TOASTED_CASHEWS,Egg Fried Rice with Toasted Cashews,4,MAIN,__TBD__,__comment__
CHICKPEA_&_KALE_BROTH,Chickpea & Kale Broth,4,MAIN,__TBD__,__comment__
MISO_NOODLE_SOUP,Miso Noodle Soup,1,MAIN,__TBD__,__comment__
SWEET_POTATO_&_RED_LENTIL_SOUP,Sweet Potato & Red Lentil Soup,4,MAIN,__TBD__,__comment__
THREE_LENTIL_DHAL_WITH_CORIANDER_&_CHILLI,Three-Lentil Dhal with Coriander & Chilli,4,MAIN,__TBD__,__comment__
SUPER_BEANS_ON_TOAST,Super Beans on Toast,2,MAIN,__TBD__,__comment__
AVOCADO_&_FETA_TOASTS,Avocado & Feta Toasts,2,MAIN,__TBD__,__comment__
"ROASTED_BUTTERNET,_TOFU_&_SROUTED_SHOOT_SALAD","Roasted Butternet, Tofu & Srouted Shoot Salad",4,MAIN,__TBD__,__comment__
"BEETROOT,_FETA_&_POTATO_SALAD","Beetroot, Feta & Potato Salad",4,MAIN,__TBD__,__comment__
ROASTED_VEGETABL_&_MOZZARELLA_BRUSCHETTA,Roasted Vegetabl & Mozzarella Bruschetta,4,MAIN,__TBD__,__comment__
"ROASTED_AUBERGINE,_CHICKPEA_AND_HUMMUS_WRAP","Roasted Aubergine, Chickpea and Hummus Wrap",2,MAIN,__TBD__,__comment__
ROOT_VEGETABLE_CHIPS_WIT_DIPPY_EGGS,Root Vegetable Chips wit Dippy Eggs,4,MAIN,__TBD__,__comment__
ONE_POT_CHICKEN_CASSEROLE,One-Pot Chicken Casserole,4,MAIN,__TBD__,__comment__
MUSTAR_MASH_CHICKEN_PIE,Mustar-Mash Chicken Pie,4,MAIN,__TBD__,__comment__
TANGY_CHICKEN_STIR_FRY,Tangy Chicken Stir-Fry,4,MAIN,__TBD__,__comment__
NEPALESE_CHICKEN_WITH_RICE,Nepalese Chicken with Rice,4,MAIN,__TBD__,__comment__
CHAR_GRILLED_CHICKEN_PASTA_SALAD,Char-Grilled Chicken Pasta Salad,4,MAIN,__TBD__,__comment__
TURKEY_PESTO_KIEVS,Turkey Pesto Kievs,4,MAIN,__TBD__,__comment__
BLACK_EYED_BEAN_AND_CHILLI_BEEF_BURRITOS,Black-Eyed Bean and Chilli Beef Burritos,4,MAIN,__TBD__,__comment__
SAUSAGE_CASSEROLE,Sausage Casserole,4,MAIN,__TBD__,__comment__
CHILLI_CHARD_&_PORK_RICE,Chilli Chard & Pork Rice,4,MAIN,__TBD__,__comment__
PURPLE_PANCETTA_PENNE,Purple Pancetta Penne,4,MAIN,__TBD__,__comment__
CORIANDER_LAMB_WITH_QUINOA,Coriander Lamb with Quinoa,4,MAIN,__TBD__,__comment__
LAMB_&_SPINASH_CURRY,Lamb & Spinash Curry,4,MAIN,__TBD__,__comment__
ZESTY_MACKEREL_FILLETS,Zesty Mackerel Fillets,4,MAIN,__TBD__,__comment__
THAI_STYLE_BAKED_FISH_WITH_STIR_FRIED_VEGETABLE_RICE,Thai-Style Baked Fish with Stir-Fried Vegetable Rice,4,MAIN,__TBD__,__comment__
SALMON_PASTA_BAKE,Salmon Pasta Bake,4,MAIN,__TBD__,__comment__
EASY_FISH_&_CHIPS,Easy Fish & Chips,4,MAIN,__TBD__,__comment__
MAGIC_FIH_PIE,Magic Fih Pie,4,MAIN,__TBD__,__comment__
ROSEMARY_&_PAPRIKA_VEGETABLE_&_BEAN_HOT_POT,Rosemary & Paprika Vegetable & Bean Hot Pot,4,MAIN,__TBD__,__comment__
SWEET_POTATO_RISOTTO,Sweet Potato Risotto,4,MAIN,__TBD__,__comment__
TOFY_PAD_THAI,Tofy Pad Thai,4,MAIN,__TBD__,__comment__
PUNJABI_STYLE_ALOO_SABSI,Punjabi-Style Aloo Sabsi,4,MAIN,__TBD__,__comment__
BULGAR_WHEAT_CURRY,Bulgar Wheat Curry,4,MAIN,__TBD__,__comment__
SWEET_POTATO_PARCELS,Sweet Potato Parcels,4,MAIN,__TBD__,__comment__
MIXED_NUT_PESTO_&_ROASTED_MEDITERRANEAN_VEGETABLE_PASTA,Mixed Nut Pesto & Roasted Mediterranean Vegetable Pasta,4,MAIN,__TBD__,__comment__
GALETTES_COMPLETES,Galettes complètes,6,MAIN,__TBD__,__comment__
CREPE_SUCREE,Crepe sucree,30,DESERT,__TBD__,__comment__
PATE_A_PIZZA,Pate a pizza,3,MAIN,__TBD__,__comment__
SALADE_DE_POIS_CHICHES,Salade de pois chiches,4,MAIN,__TBD__,__comment__
MEATBALLS__JAMIE_OLIVER,Meatballs - Jamie Oliver,8,MAIN,__TBD__,__comment__
SWEET_&_SOUR_STIR_FRY,Sweet & Sour Stir-Fry,4,MAIN,__TBD__,__comment__
SPICED_WHOLE_ROAST_CAULI,Spiced Whole Roast Cauli,4,MAIN,__TBD__,__comment__
DUCK_&_ORANGE_SALAD,Duck & Orange Salad,4,MAIN,__TBD__,__comment__
SOUPE_DE_POIVRONS_A_LA_RICOTTA_ET_AU_MIEL,Soupe de poivrons à la ricotta et au miel,4,MAIN,__TBD__,__comment__
CABILLAUD_AUX_LEGUMES_ET_PUREE_DE_POMMES_DE_TERRE,Cabillaud aux légumes et purée de pommes de terre,4,MAIN,__TBD__,__comment__