recipe_id,book_id,page_nb,comment
ROULEAUX_DE_PRINTEMPS,COOK_&_ROLL_FR,__TBD__,__comment__
BREAKFAST_SHAKE,FAST_FUEL_EN,__TBD__,__comment__
SUMMER_FRUIT_SMOOTHIE,FAST_FUEL_EN,__TBD__,__comment__
MANGO_&_BANANA_SMOOTHIE,FAST_FUEL_EN,__TBD__,__comment__
THE_MORNING_REFRESHER_SMOOTHIE,FAST_FUEL_EN,__TBD__,__comment__
BLUEBERRY_BIRCHER_MUESLI,FAST_FUEL_EN,__TBD__,__comment__
TOASTED_WALKNUT_&_HONEY_PORRIDGE,FAST_FUEL_EN,__TBD__,__comment__
APPLE_BREAKFAST_BREAD,FAST_FUEL_EN,__TBD__,__comment__
RACE_DAY_BAGEL_WITH_NUT_BUTTER,FAST_FUEL_EN,__TBD__,__comment__
ENGLISH_BREAKFAST_MUFFN,FAST_FUEL_EN,__TBD__,__comment__
SCRAMBLED_EGG_PITTA,FAST_FUEL_EN,__TBD__,__comment__
BUCKWHEAT_PANCACKES_WITH_STRAWBERRIES_&_VANILLA_YOGURT,FAST_FUEL_EN,__TBD__,__comment__
OATY_BANANA_PANCAKE,FAST_FUEL_EN,__TBD__,__comment__
THAI_GREEN_CHICKEN_CURRY,FAST_FUEL_EN,__TBD__,__comment__
CHICKEN_&_QUINOA_SALAD,FAST_FUEL_EN,__TBD__,__comment__
SPICY_STEAK_WRAPS_WITH_TOMATO_SALSA,FAST_FUEL_EN,__TBD__,__comment__
SALMON_MUSCLE_RECOVERY_WRAPS,FAST_FUEL_EN,__TBD__,__comment__
SMOKED_MACKEREL_FISHCAKES,FAST_FUEL_EN,__TBD__,__comment__
MARGHERITA_FRITTATA,FAST_FUEL_EN,__TBD__,__comment__
EGG_FRIED_RICE_WITH_TOASTED_CASHEWS,FAST_FUEL_EN,__TBD__,__comment__
CHICKPEA_&_KALE_BROTH,FAST_FUEL_EN,__TBD__,__comment__
MISO_NOODLE_SOUP,FAST_FUEL_EN,__TBD__,__comment__
SWEET_POTATO_&_RED_LENTIL_SOUP,FAST_FUEL_EN,__TBD__,__comment__
THREE_LENTIL_DHAL_WITH_CORIANDER_&_CHILLI,FAST_FUEL_EN,__TBD__,__comment__
SUPER_BEANS_ON_TOAST,FAST_FUEL_EN,__TBD__,__comment__
AVOCADO_&_FETA_TOASTS,FAST_FUEL_EN,__TBD__,__comment__
"ROASTED_BUTTERNET,_TOFU_&_SROUTED_SHOOT_SALAD",FAST_FUEL_EN,__TBD__,__comment__
"BEETROOT,_FETA_&_POTATO_SALAD",FAST_FUEL_EN,__TBD__,__comment__
ROASTED_VEGETABL_&_MOZZARELLA_BRUSCHETTA,FAST_FUEL_EN,__TBD__,__comment__
"ROASTED_AUBERGINE,_CHICKPEA_AND_HUMMUS_WRAP",FAST_FUEL_EN,__TBD__,__comment__
ROOT_VEGETABLE_CHIPS_WIT_DIPPY_EGGS,FAST_FUEL_EN,__TBD__,__comment__
ONE_POT_CHICKEN_CASSEROLE,FAST_FUEL_EN,__TBD__,__comment__
MUSTAR_MASH_CHICKEN_PIE,FAST_FUEL_EN,__TBD__,__comment__
TANGY_CHICKEN_STIR_FRY,FAST_FUEL_EN,__TBD__,__comment__
NEPALESE_CHICKEN_WITH_RICE,FAST_FUEL_EN,__TBD__,__comment__
CHAR_GRILLED_CHICKEN_PASTA_SALAD,FAST_FUEL_EN,__TBD__,__comment__
TURKEY_PESTO_KIEVS,FAST_FUEL_EN,__TBD__,__comment__
BLACK_EYED_BEAN_AND_CHILLI_BEEF_BURRITOS,FAST_FUEL_EN,__TBD__,__comment__
SAUSAGE_CASSEROLE,FAST_FUEL_EN,__TBD__,__comment__
CHILLI_CHARD_&_PORK_RICE,FAST_FUEL_EN,__TBD__,__comment__
PURPLE_PANCETTA_PENNE,FAST_FUEL_EN,__TBD__,__comment__
CORIANDER_LAMB_WITH_QUINOA,FAST_FUEL_EN,__TBD__,__comment__
LAMB_&_SPINASH_CURRY,FAST_FUEL_EN,__TBD__,__comment__
ZESTY_MACKEREL_FILLETS,FAST_FUEL_EN,__TBD__,__comment__
THAI_STYLE_BAKED_FISH_WITH_STIR_FRIED_VEGETABLE_RICE,FAST_FUEL_EN,__TBD__,__comment__
SALMON_PASTA_BAKE,FAST_FUEL_EN,__TBD__,__comment__
EASY_FISH_&_CHIPS,FAST_FUEL_EN,__TBD__,__comment__
MAGIC_FIH_PIE,FAST_FUEL_EN,__TBD__,__comment__
ROSEMARY_&_PAPRIKA_VEGETABLE_&_BEAN_HOT_POT,FAST_FUEL_EN,__TBD__,__comment__
SWEET_POTATO_RISOTTO,FAST_FUEL_EN,__TBD__,__comment__
TOFY_PAD_THAI,FAST_FUEL_EN,__TBD__,__comment__
PUNJABI_STYLE_ALOO_SABSI,FAST_FUEL_EN,__TBD__,__comment__
BULGAR_WHEAT_CURRY,FAST_FUEL_EN,__TBD__,__comment__
SWEET_POTATO_PARCELS,FAST_FUEL_EN,__TBD__,__comment__
MIXED_NUT_PESTO_&_ROASTED_MEDITERRANEAN_VEGETABLE_PASTA,FAST_FUEL_EN,__TBD__,__comment__
SWEET_&_SOUR_STIR_FRY,JO_JAMIE_VEG_EN,__TBD__,__comment__
SPICED_WHOLE_ROAST_CAULI,JO_JAMIE_VEG_EN,__TBD__,__comment__
DUCK_&_ORANGE_SALAD,JO_5_INGR_EN,__TBD__,__comment__